content,length,word_count,type
PRM/KA/RERA/1251/308/PR/200226/003310,37,1,visible_text
TANMATHRA AQUARELLE DEVELOPERS PRIVATE LIMITED,46,5,visible_text
Shriram Chirping Grove,22,3,visible_text
19/10/2025,10,1,visible_text
19-01-2025,10,1,visible_text
19-01-2025 - 19-10-2025,23,3,visible_text
2150,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200201/003873,37,1,visible_text
NESTOYA HOMES PRIVATE LIMITED,29,4,visible_text
LIBERTY ACRES PHASE 4,21,4,visible_text
2151,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200131/003872,37,1,visible_text
PRM/KA/RERA/1251/446/PR/201106/003684,37,1,visible_text
BREN ZAHARA,11,2,visible_text
31-07-2023 - 31-03-2024,23,3,visible_text
2152,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200201/003874,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200219/003300,37,1,visible_text
M/s. Sree Adithya Developers,28,4,visible_text
SREE ADITHYA ELEGANT,20,3,visible_text
19/10/2022,10,1,visible_text
19-01-2022,10,1,visible_text
19-01-2022 - 19-10-2022,23,3,visible_text
2153,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200202/003875,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200323/003377,37,1,visible_text
Allure ventures llp,19,3,visible_text
Allure -1,9,2,visible_text
2154,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200206/003882,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200310/003332,37,1,visible_text
Vaishnavi Infrastructure and Properties LLP,43,5,visible_text
VAISHNAVI SOVEREIGN,19,2,visible_text
2155,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200212/003896,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200827/003557,37,1,visible_text
G R ONYX,8,3,visible_text
2156,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200313/003977,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200827/003558,37,1,visible_text
G R OPAL,8,3,visible_text
2157,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200205/003877,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200323/003378,37,1,visible_text
BRIGHT WAVE PROJECTS PRIVATE LIMITED,36,5,visible_text
Tulip,5,1,visible_text
24/02/2024,10,1,visible_text
24-05-2023,10,1,visible_text
24-05-2023 - 24-02-2024,23,3,visible_text
2158,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200214/003902,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200604/003439,37,1,visible_text
RGM Constructions,17,2,visible_text
LK GLORIA,9,2,visible_text
09-02-2023,10,1,visible_text
09-02-2023 - 09-11-2023,23,3,visible_text
2159,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200206/003883,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200219/003301,37,1,visible_text
SASHANK CONSTRUCTIONS,21,2,visible_text
SASHANK AADYA,13,2,visible_text
2160,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200211/003888,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200604/003440,37,1,visible_text
GARUDA PARK SQUARE,18,3,visible_text
2161,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200213/003899,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200323/003380,37,1,visible_text
RK BUILDERS,11,2,visible_text
GREEN HIGHTS,12,2,visible_text
23/07/2022,10,1,visible_text
23-10-2021,10,1,visible_text
23-10-2021 - 23-07-2022,23,3,visible_text
2162,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200310/003963,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200827/003561,37,1,visible_text
M/s.MANGALA DEVELOPERS,22,2,visible_text
MANGALA ELLITE,14,2,visible_text
2163,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200212/003893,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200310/003333,37,1,visible_text
TEAMVIEW DEVELOPERS LLP,23,3,visible_text
SKAV RAHA,9,2,visible_text
2164,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200207/003887,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200226/003311,37,1,visible_text
M/s. UNITED INFRASTRUCTURES,27,3,visible_text
UNITED HIGHLANDS,16,2,visible_text
31-12-2024 - 30-06-2025,23,3,visible_text
2165,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200310/003964,37,1,visible_text
PRM/KA/RERA/1251/446/PR/201001/003605,37,1,visible_text
M/s Vaibhav Developers,22,3,visible_text
The Ocean Spray,15,3,visible_text
31/08/2022,10,1,visible_text
2166,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200212/003892,37,1,visible_text
sri balaji developers,21,3,visible_text
ISHWARYA KANCHARLA GRAND,24,3,visible_text
As per the Hon`ble Authority order dated 13/08/2021 application for project registration is rejected.,101,14,visible_text
2167,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200212/003895,37,1,visible_text
AISHWARYA KANCHARLA GRAND,25,3,visible_text
2168,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200218/003911,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200226/003313,37,1,visible_text
H.P Rama Reddy and A. Rama Reddy,32,7,visible_text
RELIAABLE DOLLAR COLLONY PHASE 2G,33,5,visible_text
2169,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200213/003901,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200323/003381,37,1,visible_text
SHREE DEVELOPERS,16,2,visible_text
SRI RAMA BADAVANE PHASE-II,26,4,visible_text
2170,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200220/003917,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200323/003382,37,1,visible_text
M/s Alekhya Property Developments Pvt Ltd,41,6,visible_text
ADARSH LAKEFRONT RESIDENTIAL PHASE 2,36,5,visible_text
2171,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200215/003904,37,1,visible_text
PRM/KA/RERA/1251/446/PR/201001/003606,37,1,visible_text
M/s Navajyothi Properties,25,3,visible_text
Paradise Palms,14,2,visible_text
2172,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200519/004012,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200604/003441,37,1,visible_text
H P Rama Reddy and A Rama Reddy,31,8,visible_text
Reliaable Residenza Phase 1B,28,4,visible_text
2173,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200217/003907,37,1,visible_text
SRI SAI PRAGNA ELITE,20,4,visible_text
As per the Hon`ble Authority order dated 03/08/2021 application for project registration is rejected.,101,14,visible_text
2174,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200219/003913,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200526/003419,37,1,visible_text
DSR VERTEX AND APEX,19,4,visible_text
15/12/2023,10,1,visible_text
15-03-2023,10,1,visible_text
15-03-2023 - 15-12-2023,23,3,visible_text
2175,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200218/003909,37,1,visible_text
SRI LORVEN BUILDERS,19,3,visible_text
SRI LORVEN ELITE,16,3,visible_text
As per the Hon`ble Authority order dated 11/08/2021 application for project registration is rejected.,101,14,visible_text
29/12/2021,10,1,visible_text
29-12-2021,10,1,visible_text
2176,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200218/003910,37,1,visible_text
SHANMUGAM G,11,2,visible_text
SRIKANTH VISTA,14,2,visible_text
28/12/2021,10,1,visible_text
28-12-2021,10,1,visible_text
2177,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200219/003912,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200817/003546,37,1,visible_text
CONFIDENT PROJECTS (INDIA) PRIVATE LIMITED,42,5,visible_text
CONFIDENT PLATINUM PHASE II,27,4,visible_text
17/08/2020,10,1,visible_text
21/10/2022,10,1,visible_text
21-01-2022,10,1,visible_text
21-01-2022 - 21-10-2022,23,3,visible_text
2178,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200219/003914,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200722/003488,37,1,visible_text
Bluejay Signature,17,2,visible_text
2179,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200219/003916,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200323/003385,37,1,visible_text
UNITED DREAMS,13,2,visible_text
20/11/2023,10,1,visible_text
20-02-2023,10,1,visible_text
20-02-2023 - 20-11-2023,23,3,visible_text
2180,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200622/004093,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200817/003547,37,1,visible_text
ELEGANT EXQUISITE,17,2,visible_text
2181,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200227/003926,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200515/003403,37,1,visible_text
Meda Constructions,18,2,visible_text
Meda Heights,12,2,visible_text
2182,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200225/003920,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200526/003421,37,1,visible_text
CLASSIC ELMWOOD PHASE IV,24,4,visible_text
2183,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200226/003924,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200310/003335,37,1,visible_text
FRANKLIN HOMES,14,2,visible_text
FRANKLIN ORCHID,15,2,visible_text
2184,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200225/003921,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200515/003404,37,1,visible_text
T.R. SHARADAMMA,15,2,visible_text
Someshwara Layout,17,2,visible_text
2185,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200225/003922,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200323/003386,37,1,visible_text
M/S. SRIVEN PROPERTIES,22,3,visible_text
SRIVEN DAKSHA ELITE,19,3,visible_text
21/08/2026,10,1,visible_text
21-11-2025,10,1,visible_text
21-11-2025 - 21-08-2026,23,3,visible_text
2186,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200227/003929,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200323/003368,37,1,visible_text
SPL TOWERS PRIVATE LIMITED,26,4,visible_text
Shriram WYT Field,17,3,visible_text
26/11/2025,10,1,visible_text
26-02-2025,10,1,visible_text
26-02-2025 - 26-11-2025,23,3,visible_text
2187,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200228/003931,37,1,visible_text
Affinity Sannidhan,18,2,visible_text
As per the Hon'ble Authority Order dated 13/08/2021 application for project registration is rejected.,101,14,visible_text
2188,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200229/003934,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200323/003370,37,1,visible_text
V.S.R VENTURES,14,2,visible_text
V.S.R TRANQUIL,14,2,visible_text
2189,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200228/003932,37,1,visible_text
K SRIDHAR,9,2,visible_text
S R HOMES,9,3,visible_text
As per Hon`ble Authority order dated 09/08/2021 application for project registration is rejected.,97,13,visible_text
27-02-2021,10,1,visible_text
2190,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200602/004031,37,1,visible_text
BDA,3,1,visible_text
NPKL KOMAGHATTA PHASE 1,23,4,visible_text
As per Hon'ble Authority order dated: 22/06/2023 request for registration of the project has been rejected,106,16,visible_text
2191,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200302/003938,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200526/003424,37,1,visible_text
M/s Neelanchanl Landholdings LLP,32,4,visible_text
KNS ATHENA,10,2,visible_text
22/05/2025,10,1,visible_text
22-08-2024,10,1,visible_text
22-08-2024 - 22-05-2025,23,3,visible_text
2192,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200302/003940,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200811/003515,37,1,visible_text
C Subramani,11,2,visible_text
VASUNDRA CYBER NEST,19,3,visible_text
11/08/2020,10,1,visible_text
2193,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200519/004015,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200624/003461,37,1,visible_text
Darshan Gowda B A,17,4,visible_text
AURA,4,1,visible_text
24/06/2020,10,1,visible_text
2194,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200306/003950,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200618/003453,37,1,visible_text
PRESTIGE PRIMROSE HILLS-PH-I,28,3,visible_text
31-05-2024,10,1,visible_text
31-05-2024 - 28-02-2025,23,3,visible_text
2195,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200307/003953,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200618/003454,37,1,visible_text
Axis Concepts Capstone Private limited,38,5,visible_text
Avory,5,1,visible_text
2196,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200307/003954,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200604/003444,37,1,visible_text
VAISHNAVI RHAPSODY,18,2,visible_text
05/08/2022,10,1,visible_text
05-11-2021,10,1,visible_text
05-11-2021 - 05-08-2022,23,3,visible_text
2197,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200309/003958,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200618/003455,37,1,visible_text
PRESTIGE PRIMROSE HILLS PH-2,28,4,visible_text
30-09-2024 -,12,2,visible_text
2198,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200307/003956,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200515/003406,37,1,visible_text
Arvind Hebbal Homes Private Limited,35,5,visible_text
Arvind Bel Air,14,3,visible_text
2199,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200513/004010,37,1,visible_text
JAI DEVELOPERS,14,2,visible_text
JAI PARK SQUARE,15,3,visible_text
2200,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200312/003972,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200722/003489,37,1,visible_text
SV MAPLE,8,2,visible_text
2201,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200311/003970,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200526/003427,37,1,visible_text
M/s. N G DEVELOPERS,19,4,visible_text
NG's COCO VILLA,15,3,visible_text
2202,4,1,visible_text
ACK/KA/RERA/1251/446/PR/310122/005629,37,1,visible_text
PRM/KA/RERA/1251/446/PR/010722/005029,37,1,visible_text
MAITREE DEVELOPERS,18,2,visible_text
MAITREE SPRINT,14,2,visible_text
2203,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200529/004026,37,1,visible_text
Banagalore Development Authority,32,3,visible_text
NPKL KOMAGHATTA PHASE 2,23,4,visible_text
2204,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200318/003986,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200604/003446,37,1,visible_text
Bangalore Homes Developers,26,3,visible_text
Aishwarya Bangalore Homes,25,3,visible_text
23/01/2022,10,1,visible_text
23-04-2021,10,1,visible_text
23-04-2021 - 23-01-2022,23,3,visible_text
2205,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200319/003991,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200618/003456,37,1,visible_text
DEVAGIRI PROMOTERS,18,2,visible_text
DEVAGIRI EMERALDS,17,2,visible_text
14/10/2023,10,1,visible_text
14-01-2023,10,1,visible_text
14-01-2023 - 14-10-2023,23,3,visible_text
2206,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200317/003981,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200908/003583,37,1,visible_text
K SWARUP KUMAR REDDY,20,4,visible_text
ECOSPRINGS,10,1,visible_text
2207,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200608/004042,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200817/003548,37,1,visible_text
M s Desai Developers,20,4,visible_text
Desai Golden Springs,20,3,visible_text
05/03/2023,10,1,visible_text
05-03-2023,10,1,visible_text
2208,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200605/004036,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200722/003490,37,1,visible_text
GOVIANU MARGOSA,15,2,visible_text
18/03/2022,10,1,visible_text
18-03-2022,10,1,visible_text
2209,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200319/003990,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200526/003429,37,1,visible_text
MAITREE MARVEL,14,2,visible_text
2210,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200319/003992,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200526/003430,37,1,visible_text
Sobha City Athena,17,3,visible_text
2211,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200322/003995,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200526/003431,37,1,visible_text
RAKESH CHAWAT,13,2,visible_text
THE TENNIS VILLAGE GREENS,25,4,visible_text
30-06-2022 - 31-03-2023,23,3,visible_text
2212,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200512/004009,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200624/003462,37,1,visible_text
SREE DURGA BUILDERS AND DEVELOPERS,34,5,visible_text
DURGA NANDANA,13,2,visible_text
09/09/2023,10,1,visible_text
09-12-2021,10,1,visible_text
09-12-2021 - 09-09-2022,23,3,visible_text
09-09-2022 - 09-09-2023,23,3,visible_text
2213,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200330/003998,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200908/003584,37,1,visible_text
Icon Infra Shelters India Pvt Ltd,33,6,visible_text
ICONEST 5,9,2,visible_text
2214,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200529/004027,37,1,visible_text
NPKL KOMAGHATTA PHASE 3,23,4,visible_text
2215,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200519/004014,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200701/003472,37,1,visible_text
Kavitha V Reddy,15,3,visible_text
ELITE SERIES,12,2,visible_text
2216,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200828/004207,37,1,visible_text
PRM/KA/RERA/1251/310/PR/210705/004177,37,1,visible_text
RAJARAJESHWARE BUILDDCON PVT LTD,32,4,visible_text
PRATHAM,7,1,visible_text
06/08/2023,10,1,visible_text
06-08-2022,10,1,visible_text
06-08-2022 - 06-08-2023,23,3,visible_text
2217,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200620/004086,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200722/003494,37,1,visible_text
SVV HOLDINGS AND DEVELOPERS LLP,31,5,visible_text
Harappa Green Woods,19,3,visible_text
2218,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200519/004013,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200526/003433,37,1,visible_text
SBR TOWERS,10,2,visible_text
2219,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200517/004011,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200811/003519,37,1,visible_text
ISR INDRAPRASTHA,16,2,visible_text
30-08-2024 - 30-08-2025,23,3,visible_text
2220,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200611/004058,37,1,visible_text
PRM/KA/RERA/1251/310/PR/210111/003767,37,1,visible_text
Sri Sai Associates,18,3,visible_text
Concorde Elements of Earth,26,4,visible_text
2221,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200723/004145,37,1,visible_text
PRM/KA/RERA/1251/446/PR/201215/003741,37,1,visible_text
Ms Myhna Properties Pvt Ltd,27,5,visible_text
MYHNA MEADOWS,13,2,visible_text
15/12/2020,10,1,visible_text
2222,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200524/004018,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003520,37,1,visible_text
RRR CONSTRUCTIONS,17,2,visible_text
ROYAL RICH,10,2,visible_text
2223,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200526/004020,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200624/003465,37,1,visible_text
SALVINA INFRACON,16,2,visible_text
SHIRIN,6,1,visible_text
2224,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200612/004064,37,1,visible_text
vikyath infra,13,2,visible_text
Vikyath White Meadows,21,3,visible_text
2225,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200611/004055,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200722/003495,37,1,visible_text
BMR BUILDERS AND DEVELOPERS,27,4,visible_text
BHOOMIKA SUNRISE,16,2,visible_text
10/06/2022,10,1,visible_text
10-06-2022,10,1,visible_text
2226,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200612/004066,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200811/003522,37,1,visible_text
S G M DEVELOPERS,16,4,visible_text
SGM PETALS,10,2,visible_text
2227,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200529/004024,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200604/003449,37,1,visible_text
Signature Dwellings Private Limited,35,4,visible_text
SIGNATURE CREST,15,2,visible_text
25/05/2023,10,1,visible_text
2228,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200907/004221,37,1,visible_text
PRM/KA/RERA/1251/309/PR/201001/003607,37,1,visible_text
ADARSH HAVEN PRIVATE LIMITED,28,4,visible_text
ADARSH GREENS PHASE 1,21,4,visible_text
31-10-2024,10,1,visible_text
2229,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200610/004052,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200702/003478,37,1,visible_text
ENN ESS AAR PROJECTS PRIVATE LIMITED,36,6,visible_text
HIMMLISCH,9,1,visible_text
29/12/2023,10,1,visible_text
2230,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200612/004061,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200811/003524,37,1,visible_text
PRESTIGE MINSK SQUARE,21,3,visible_text
2231,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200606/004039,37,1,visible_text
PRM/KA/RERA/1251/310/PR/201106/003685,37,1,visible_text
ARIHANT FOUNDATIONS AND HOUSING LIMITED,39,5,visible_text
ARIHANT VILAYA,14,2,visible_text
2232,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200608/004041,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200624/003470,37,1,visible_text
Shashvat Polymers Pvt Ltd,25,4,visible_text
KNS JIVANZA,11,2,visible_text
03-03-2022,10,1,visible_text
2233,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200608/004043,37,1,visible_text
delhi prasad,12,2,visible_text
PRATHIKA ENCLAVE,16,2,visible_text
As per the Hon'ble Authority Order dated 24-01-2022 application for project registration is rejected.,101,14,visible_text
2234,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200608/004044,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200702/003479,37,1,visible_text
KNS AADRIKA,11,2,visible_text
16/01/2025,10,1,visible_text
16-01-2025,10,1,visible_text
2235,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200612/004062,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200702/003480,37,1,visible_text
APG Habitat Private Limited,27,4,visible_text
CANVAS AND COVE PHASE 1 WING C AND D,36,9,visible_text
2236,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200609/004047,37,1,visible_text
N Ravindra Reddy,16,3,visible_text
RR RESIDENCY,12,2,visible_text
2237,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200701/004112,37,1,visible_text
PRM/KA/RERA/1251/309/PR/200811/003525,37,1,visible_text
GURUSAMY SELVA KUMAR,20,3,visible_text
REMINGTON,9,1,visible_text
2238,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200611/004056,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200722/003500,37,1,visible_text
Vaishnavi Constructions,23,2,visible_text
VAISHNAVI VRISHAB,17,2,visible_text
06/03/2022,10,1,visible_text
06-03-2022,10,1,visible_text
2239,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200613/004067,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200817/003549,37,1,visible_text
Bhavisha Properties,19,2,visible_text
Bavisha Gardeniaa,17,2,visible_text
2240,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200616/004074,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003526,37,1,visible_text
AJEETH,6,1,visible_text
V Classic,9,2,visible_text
2241,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200617/004077,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003527,37,1,visible_text
Bhavya Constructions,20,2,visible_text
BHAVYA LAKE VISTA,17,3,visible_text
31-12-2023 - 31-12-2024,23,3,visible_text
2242,4,1,visible_text
ACK/KA/RERA/1251/472/PR/200617/004078,37,1,visible_text
PRM/KA/RERA/1251/472/PR/200624/003471,37,1,visible_text
ADITRRI BUILDERS AND DEVELOPERS,31,4,visible_text
ADITRRI LOTUS,13,2,visible_text
2243,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200619/004081,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003528,37,1,visible_text
PRESTIGE WATERFORD,18,2,visible_text
15/09/2024,10,1,visible_text
15-12-2023,10,1,visible_text
15-12-2023 - 15-09-2024,23,3,visible_text
2244,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200619/004082,37,1,visible_text
Parkwest - Pine - Tower 9,25,6,visible_text
"As per Order dated 07-10-2020, application has been rejected",60,9,visible_text
17/06/2024,10,1,visible_text
17-06-2024,10,1,visible_text
2245,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200619/004083,37,1,visible_text
Parkwest - Oak - Tower 10,25,6,visible_text
17/12/2024,10,1,visible_text
17-12-2024,10,1,visible_text
2246,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200620/004084,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200811/003529,37,1,visible_text
CLASSIC VENTURES LLP,20,3,visible_text
THE SANCTUARY PHASE II,22,4,visible_text
20/08/2021,10,1,visible_text
20-08-2021,10,1,visible_text
2247,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200917/004239,37,1,visible_text
PRM/KA/RERA/1251/446/PR/210702/004168,37,1,visible_text
N D Ventures,12,3,visible_text
MAGNOLIA PHASE-2,16,2,visible_text
02/07/2021,10,1,visible_text
2248,4,1,visible_text
ACK/KA/RERA/1251/310/PR/200620/004087,37,1,visible_text
PRM/KA/RERA/1251/310/PR/200811/003530,37,1,visible_text
A D MANJHUNATH,14,3,visible_text
SLV ROYAL TRANQUIL,18,3,visible_text
2249,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200624/004101,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200811/003533,37,1,visible_text
J P HOUSING CORPORATION,23,4,visible_text
J P SIGNATURE PARK,18,4,visible_text
16/12/2021,10,1,visible_text
2250,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200630/004111,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003534,37,1,visible_text
NVR Developers,14,2,visible_text
NVR Sunpearl Block B,20,4,visible_text
19/01/2024,10,1,visible_text
19-01-2023,10,1,visible_text
19-01-2023 - 19-01-2024,23,3,visible_text
2251,4,1,visible_text
ACK/KA/RERA/1251/446/PR/200704/004114,37,1,visible_text
PRM/KA/RERA/1251/446/PR/200811/003535,37,1,visible_text
Odion Builders and Developers,29,4,visible_text
THE WOODS OF EAST PHASE -4,26,6,visible_text
2252,4,1,visible_text
ACK/KA/RERA/1251/308/PR/200707/004116,37,1,visible_text
PRM/KA/RERA/1251/308/PR/200811/003536,37,1,visible_text
IndiaBuild Premises Pvt Ltd,27,4,visible_text
The Imperial Address – Phase I,30,6,visible_text
31-12-2022 - 31-12-2023,23,3,visible_text
2253,4,1,visible_text
ACK/KA/RERA/1251/309/PR/200712/004127,37,1,visible_text
